1.0,1,3
1.0,2,3
1.0,0,6
1.0,9,12
1.0,10,15
1.0,5,16
1.0,13,17
1.0,7,18
1.0,1,19
1.0,0,21
1.0,9,21
1.0,8,22
1.0,12,22
1.0,16,23
1.0,18,24
1.0,20,24
1.0,2,25
1.0,20,25
1.0,1,26
1.0,14,27
1.0,13,28
1.0,18,28
1.0,6,29
1.0,19,30
1.0,21,30
1.0,4,31
1.0,11,31
1.0,15,31
1.0,10,32
1.0,16,32
1.0,6,33
1.0,28,33
1.0,5,34
1.0,8,34
1.0,13,34
1.0,7,35
1.0,11,35
1.0,29,35
1.0,0,36
1.0,4,36
1.0,7,36
1.0,11,37
1.0,20,37
1.0,27,37
1.0,2,38
1.0,33,39
1.0,14,40
1.0,26,40
1.0,27,40
1.0,4,41
1.0,38,41
1.0,12,42
1.0,22,42
1.0,25,42
1.0,10,43
1.0,38,43
1.0,39,43
1.0,3,44
1.0,23,44
1.0,41,44
1.0,14,45
1.0,17,45
1.0,39,45
1.0,8,46
1.0,15,46
1.0,29,46
1.0,19,47
1.0,23,47
1.0,30,47
1.0,17,48
1.0,24,48
1.0,26,48
1.0,5,49
1.0,9,49
1.0,32,49
